STATE,MONTH_NAME,EVENT_TYPE,CZ_NAME,DAMAGE_PROPERTY,STORM_AREA_SQMILES,DURATION_MINUTES,MONTH
NEBRASKA,JULY,Thunderstorm Wind,LANCASTER,,0.0,0,7
NEBRASKA,JULY,Thunderstorm Wind,LANCASTER,,0.0,0,7
NEBRASKA,JULY,Thunderstorm Wind,LANCASTER,,0.0,0,7
NEBRASKA,JULY,Thunderstorm Wind,LANCASTER,,0.0,0,7
NEBRASKA,JULY,Thunderstorm Wind,LANCASTER,,0.0,0,7
FLORIDA,OCTOBER,Flood,BREVARD,75000.0,2.525652677663476,0,10
NEBRASKA,JULY,Thunderstorm Wind,LANCASTER,,0.0,0,7
FLORIDA,OCTOBER,Heavy Rain,BREVARD,0.0,0.0,0,10
FLORIDA,OCTOBER,Heavy Rain,BREVARD,0.0,0.0,0,10
NEBRASKA,JULY,Thunderstorm Wind,CEDAR,,0.0,0,7
NEBRASKA,JULY,Hail,KNOX,,0.0,0,7
NEBRASKA,JULY,Thunderstorm Wind,PIERCE,,0.0,0,7
NEBRASKA,JULY,Thunderstorm Wind,WAYNE,,0.0,0,7
NEBRASKA,JULY,Thunderstorm Wind,COLFAX,,0.0,0,7
NEBRASKA,JULY,Thunderstorm Wind,CUMING,,0.0,0,7
NEBRASKA,JULY,Thunderstorm Wind,KNOX,,0.0,0,7
NEBRASKA,JULY,Hail,KNOX,,0.0,0,7
NEBRASKA,JULY,Thunderstorm Wind,KNOX,,0.0,0,7
ILLINOIS,MARCH,Tornado,LEE,0.0,29.585113440739462,8,3
ILLINOIS,MARCH,Thunderstorm Wind,COOK,0.0,0.0,0,3
ILLINOIS,MARCH,Thunderstorm Wind,WILL,0.0,0.0,0,3
ILLINOIS,MARCH,Thunderstorm Wind,LEE,0.0,0.0,0,3
TEXAS,APRIL,Hail,BOSQUE,7000.0,0.0,0,4
TEXAS,APRIL,Hail,MCLENNAN,2000000.0,0.0,0,4
TEXAS,APRIL,Hail,MCLENNAN,0.0,0.0,0,4
TEXAS,APRIL,Hail,COMANCHE,1000000.0,0.0,13,4
NEBRASKA,JULY,Thunderstorm Wind,BURT,,0.0,0,7
ILLINOIS,MARCH,Thunderstorm Wind,LA SALLE,0.0,0.0,0,3
ILLINOIS,MARCH,Thunderstorm Wind,KANE,0.0,0.0,0,3
ILLINOIS,MARCH,Thunderstorm Wind,KANE,0.0,0.0,0,3
ILLINOIS,MARCH,Thunderstorm Wind,COOK,0.0,0.0,0,3
ILLINOIS,MARCH,Tornado,BOONE,0.0,91.15415245121041,13,3
TEXAS,APRIL,Hail,COLLIN,0.0,0.0,0,4
TEXAS,APRIL,Hail,JOHNSON,100000.0,0.0,0,4
TEXAS,APRIL,Hail,COLLIN,1000000.0,0.0,0,4
TEXAS,APRIL,Flash Flood,LIMESTONE,0.0,0.17736280623652015,155,4
TEXAS,APRIL,Hail,BELL,0.0,0.0,0,4
TEXAS,APRIL,Thunderstorm Wind,CORYELL,350000.0,0.0,0,4
TEXAS,APRIL,Tornado,LIMESTONE,0.0,0.015634248731936095,2,4
TEXAS,APRIL,Flash Flood,BELL,0.0,0.001755868217991128,112,4
TEXAS,APRIL,Hail,BOSQUE,0.0,0.0,0,4
TEXAS,APRIL,Hail,EASTLAND,20000.0,0.0,0,4
TEXAS,APRIL,Hail,BOSQUE,0.0,0.0,0,4
TEXAS,APRIL,Hail,EASTLAND,100000.0,0.0,0,4
FLORIDA,JULY,Lightning,BROWARD,30000.0,0.0,0,7
ILLINOIS,MARCH,Thunderstorm Wind,WILL,0.0,0.0,0,3
ILLINOIS,MARCH,Thunderstorm Wind,DU PAGE,0.0,0.0,0,3
ILLINOIS,MARCH,Tornado,LIVINGSTON,0.0,0.0004320338505438712,1,3
ILLINOIS,MARCH,Thunderstorm Wind,COOK,0.0,0.0,0,3
ILLINOIS,MARCH,Thunderstorm Wind,COOK,0.0,0.0,0,3
TEXAS,APRIL,Thunderstorm Wind,MILAM,1000.0,0.0,0,4
TEXAS,APRIL,Flash Flood,LIMESTONE,10000.0,0.0022351219045976868,85,4
TEXAS,APRIL,Flash Flood,LEON,0.0,0.21702904736628537,110,4
TEXAS,APRIL,Hail,EASTLAND,0.0,0.0,0,4
TEXAS,APRIL,Hail,EASTLAND,50000.0,0.0,0,4
TEXAS,APRIL,Hail,LIMESTONE,100000.0,0.0,0,4
TEXAS,APRIL,Hail,LIMESTONE,0.0,0.0,0,4
NEVADA,JULY,Thunderstorm Wind,NYE,0.0,0.0,60,7
NEVADA,JULY,Thunderstorm Wind,NYE,0.0,0.0,60,7
ILLINOIS,MARCH,Thunderstorm Wind,DU PAGE,0.0,0.0,0,3
ILLINOIS,MARCH,Flood,COOK,0.0,0.00028518068214016093,340,3
ILLINOIS,MARCH,Flood,COOK,0.0,0.05863025066629245,240,3
ILLINOIS,MARCH,Thunderstorm Wind,KANE,0.0,0.0,0,3
TEXAS,MAY,Hail,DUVAL,0.0,0.0,4,5
ALABAMA,JUNE,Hail,LAUDERDALE,0.0,0.0,0,6
ALABAMA,JUNE,Thunderstorm Wind,LAUDERDALE,1000.0,0.0,0,6
ALABAMA,JUNE,Hail,LAUDERDALE,0.0,0.0,0,6
GEORGIA,JANUARY,Tornado,TROUP,,12.951986247095164,7,1
ILLINOIS,MARCH,Tornado,LEE,0.0,41.09855167668633,10,3
TEXAS,APRIL,Hail,JOHNSON,0.0,0.0,0,4
TEXAS,APRIL,Hail,COLLIN,250000.0,0.0,0,4
TEXAS,APRIL,Hail,HILL,0.0,0.0,0,4
TEXAS,APRIL,Hail,HILL,0.0,0.0,0,4
TEXAS,APRIL,Hail,HILL,0.0,0.0,0,4
TEXAS,APRIL,Hail,HAMILTON,0.0,0.0,0,4
TEXAS,APRIL,Hail,MILAM,0.0,0.0,0,4
MICHIGAN,JUNE,Thunderstorm Wind,MACOMB,0.0,0.0,0,6
ILLINOIS,MARCH,Thunderstorm Wind,WILL,0.0,0.0,0,3
ILLINOIS,MARCH,Flood,COOK,0.0,0.013804795376692791,240,3
ILLINOIS,MARCH,Flood,COOK,0.0,0.0002830011119984286,240,3
GEORGIA,JANUARY,Tornado,SPALDING,,0.9406576837287287,2,1
ILLINOIS,MARCH,Thunderstorm Wind,DE KALB,0.0,0.0,0,3
ILLINOIS,MARCH,Thunderstorm Wind,KANE,0.0,0.0,0,3
ILLINOIS,MARCH,Flood,DU PAGE,0.0,0.042800976678059585,300,3
ILLINOIS,MARCH,Flood,DU PAGE,0.0,0.0,300,3
ILLINOIS,MARCH,Flood,WILL,0.0,0.0289564420815293,180,3
FLORIDA,JULY,Flash Flood,OKALOOSA,0.0,0.024172652388156645,60,7
FLORIDA,JULY,Flash Flood,ESCAMBIA,0.0,0.1635445259042731,60,7
ALABAMA,JUNE,Hail,LAWRENCE,0.0,0.0,0,6
TEXAS,APRIL,Hail,COLLIN,0.0,0.0,0,4
TEXAS,APRIL,Hail,BELL,5000.0,0.0,0,4
TEXAS,APRIL,Hail,BELL,0.0,0.0,0,4
TEXAS,APRIL,Hail,ROBERTSON,0.0,0.0,0,4
TEXAS,APRIL,Hail,DALLAS,0.0,0.0,0,4
TEXAS,APRIL,Flood,BELL,0.0,0.6390669935984327,134,4
TEXAS,APRIL,Flood,FALLS,0.0,0.23063040117917225,110,4
TEXAS,APRIL,Hail,MCLENNAN,0.0,0.0,0,4
TEXAS,APRIL,Hail,ERATH,100000.0,0.0,0,4
TEXAS,APRIL,Hail,MCLENNAN,750000.0,0.0,0,4
TEXAS,APRIL,Hail,ERATH,0.0,0.0,0,4
TEXAS,APRIL,Hail,ERATH,60000.0,0.0,0,4
ALABAMA,MAY,Thunderstorm Wind,MADISON,2000.0,0.0,10,5
ILLINOIS,MARCH,Thunderstorm Wind,WILL,0.0,0.0,0,3
MISSOURI,MAY,Hail,CAMDEN,500000.0,0.0,0,5
MISSOURI,MAY,Hail,DENT,200000.0,0.0,0,5
NEVADA,JULY,Thunderstorm Wind,EUREKA,0.0,0.0,60,7
NEVADA,JULY,Thunderstorm Wind,WHITE PINE,0.0,0.0,60,7
NEVADA,JULY,Thunderstorm Wind,ELKO,0.0,0.0,60,7
FLORIDA,JULY,Lightning,SUMTER,10000.0,0.0,0,7
NEVADA,JULY,Thunderstorm Wind,WHITE PINE,0.0,0.0,60,7
NEVADA,JULY,Thunderstorm Wind,EUREKA,0.0,0.0,60,7
NEVADA,JULY,Flash Flood,ELKO,0.0,3.11145561195743,1080,7
ARKANSAS,JUNE,Thunderstorm Wind,CRAIGHEAD,20000.0,0.0,5,6
NORTH DAKOTA,OCTOBER,Hail,BENSON,,0.0,5,10
NORTH DAKOTA,OCTOBER,Hail,BENSON,,0.0,5,10
NORTH DAKOTA,OCTOBER,Hail,RAMSEY,,0.0,5,10
ARKANSAS,JUNE,Thunderstorm Wind,CRAIGHEAD,20000.0,0.0,5,6
FLORIDA,JULY,Lightning,SUMTER,13000.0,0.0,0,7
MONTANA,JULY,Thunderstorm Wind,ROOSEVELT,0.0,0.0,0,7
MONTANA,JULY,Thunderstorm Wind,VALLEY,0.0,0.0,0,7
MONTANA,JULY,Thunderstorm Wind,VALLEY,0.0,0.0,0,7
FLORIDA,JULY,Thunderstorm Wind,LEE,0.0,0.0,0,7
FLORIDA,JULY,Thunderstorm Wind,LEVY,0.0,0.0,0,7
KANSAS,APRIL,Thunderstorm Wind,RILEY,0.0,0.0,1,4
KANSAS,APRIL,Hail,DOUGLAS,0.0,0.0,1,4
MISSOURI,AUGUST,Flash Flood,FRANKLIN,0.0,1.061540686337477,75,8
NEBRASKA,JULY,Thunderstorm Wind,WAYNE,,0.0,0,7
KANSAS,APRIL,Thunderstorm Wind,LYON,0.0,0.0,1,4
MISSOURI,AUGUST,Flash Flood,ST. FRANCOIS,0.0,0.30703039944403127,60,8
MISSOURI,AUGUST,Thunderstorm Wind,MADISON,0.0,23.870227268358256,20,8
MISSOURI,AUGUST,Flash Flood,OSAGE,0.0,0.0,142,8
ILLINOIS,AUGUST,Thunderstorm Wind,MONTGOMERY,0.0,0.0,0,8
ILLINOIS,AUGUST,Thunderstorm Wind,ST. CLAIR,0.0,0.20804724222570664,5,8
NEBRASKA,JULY,Thunderstorm Wind,MADISON,,0.0,0,7
ILLINOIS,AUGUST,Thunderstorm Wind,MONTGOMERY,0.0,0.0,0,8
